Name,Rating
Boruto: Naruto Next Generations,6.0
Cyborg 009,6.0
Cybot Robocchi,6.0
Darkside Blues,6.0
Dash! Yonkurou: Horizon Gundan vs. Dash Gundan,6.0
Fire Emblem Heroes - Book V Ending Movie,6.0
Giniro no Kami no Agito Pilot,6.0
Gorillaman,6.0
Hajimari no Boukensha-tachi: Legend of Crystania,6.0
Hakushon Daimaou 2020,6.0
Hanakappa,6.0
Kashi no Ki Mokku,6.0
Kuuchuu Gunkan Atlantis,6.0
Maze☆Bakunetsu Jikuu,6.0
Meitantei Conan Manner Movie,6.0
Mouryou Senki Madara,6.0
Nanocore,6.0
Shinya! Tensai Bakabon,6.0
Stray Sheep: Poe no Chicchana Daibouken,6.0
Tayutaum,6.0
Time Driver: Bokura ga Kaita Mirai,6.0
Ushigaeru,6.0
Wang Gu Shenhua Zhi Tian Xuanzhe,6.0
Yakumotatsu,6.0
Ajin Senshi,6.01
Anata no France wa Donna Tokoro?,6.01
Ane Log: Moyako Neesan no Tomaranai Monologue,6.01
Angel Cop,6.01
Angelique: Twin Collection,6.01
Apfelland Monogatari,6.01
Captain Future: Kareinaru Taiyokei Race,6.01
Digimon Savers 3D: Digital World Kiki Ippatsu!,6.01
Doujouji,6.01
Doushitemo Eto ni Hairitai,6.01
Earthian,6.01
Furiten-kun,6.01
Hangyakusei Million Arthur,6.01
Hello Kitty: Ringo no Mori no Fantasy,6.01
Himitsukessha Taka no Tsume MAX,6.01
Inferno Cop Specials,6.01
Kakutou Ryouri Densetsu Bistro Recipe,6.01
Kinnikuman: Haresugata! Seigi Choujin,6.01
Kiss Dum: Omokage,6.01
"Kore wa, Watashi no Monogatari.",6.01
Ling Yu 6th Season,6.01
MahoYome: Aisatsu,6.01
Memory,6.01
Metroid Short Animation,6.01
Mini Hama: Minimum Hamatora Movies,6.01
Mini Van Large,6.01
Osomatsu-kun: Suika no Hoshi kara Konnichiwa zansu!,6.01
Puchitto Gargantia: Marumaru no Gargantia,6.01
Sakura Capsule,6.01
Sazae-san: Dawn to Ikka de Hawaii Ryokou,6.01
Sekai Meisaku Douwa,6.01
Shuumatsu no Walküre II Mini Anime,6.01
Sin: Nanatsu no Taizai Zange-roku Specials,6.01
Slow Start: Web Yokoku Movie,6.01
Sugar Bunnies,6.01
Tengai Makyou: Ziria Oboro-hen,6.01
The Borgman: Last Battle,6.01
The Snack World,6.01
Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu Movie,6.01
Torajima no Miime,6.01
Wave!! Surfing Yappe!!,6.01
Weiß Survive,6.01
Xiongmao Monogatari TaoTao,6.01
Zero Duel Masters,6.01
A Tang Qi Yu,6.02
Anne's Secret Diary,6.02
Bada-ui Jeonseol Jangbogo,6.02
Chiisai Sensuikan ni Koi wo Shita Dekasugiru Kujira no Hanashi,6.02
Chikkun Takkun,6.02
Dixia Cheng Yu Yongshi: Nizhuan Zhi Lun,6.02
Document Taiyou no Kiba Dagram,6.02
Don Chuck Monogatari,6.02
Dorami-chan: Aoi Straw Hat,6.02
Dr. Slump Movie 11: Dr. Mashirito & Abale-chan,6.02
Etotama: Nyankyaku Banrai - Etotama Pretty Gekijou,6.02
G.R.M.,6.02
Gon 2nd Season,6.02
Haru wo Irodoru,6.02
Heart no Kuni no Alice: Wonderful Wonder World,6.02
Heisei Tensai Bakabon,6.02
Hey! Bumboo,6.02
Hoshi ni Negai wo: Fantastic Cat,6.02
Hot Minute: Aggretsuko,6.02
I Wanna Be Your Friend,6.02
Jinzou Konchuu Kabutoborg VxV,6.02
Kaigo to Ikiru,6.02
Kaze no You ni,6.02
Ken En Ken: Aoki Kagayaki,6.02
Kouryuu Densetsu Villgust,6.02
Li Ba Shanhe Xi Zitang,6.02
Madonna,6.02
Mahou no Star Magical Emi: Finale! Finale!,6.02
Manga Aesop Monogatari,6.02
Marie & Gali ver. 2.0,6.02
Microid S,6.02
Mou Hitotsu no Mirai wo.,6.02
Nobara no Julie,6.02
Puttsun Make Love,6.02
Revisions,6.02
Rio: Rainbow Gate! Special,6.02
Shining Hearts: Shiawase no Pan Specials,6.02
Shinkansen Henkei Robo Shinkalion,6.02
Shoujo Nosferatu,6.02
Shuumatsu no Walküre Mini Anime,6.02
Taiheiyou ni Kakeru Niji,6.02
Tales of Crestoria Off Shot Movie,6.02
Tamagotchi! Yume Kira Dream,6.02
Tanin no Kankei,6.02
"Tekkamen wo Oe: ""d'Artagnan Monogatari"" yori",6.02
The iDOLM@STER SideM: Wake Atte Mini! Specials,6.02
Tian Yu,6.02
Tobira wo Akete (1995),6.02
Tokimeki Tonight Recaps,6.02
Turning Girls,6.02
Usagi (Special),6.02
Usavich Zero,6.02
Watanuki-san Chi to,6.02
Wolverine,6.02
Yosuga no Sora,6.02
Yowai Mushi,6.02
Anime-ban Toukaidou Yotsuya Kaidan,6.03
Anju to Zushioumaru,6.03
Aratanari Fukaki Ao,6.03
Asa made Jugyou Chu!,6.03
Bakumatsu Rock,6.03
Burn Up!,6.03
Choujin Locke: Lord Leon,6.03
Densetsu Kyojin Ideon: Sesshoku-hen,6.03
Dr. Slump: Arale-chan - Penguin Mura Eiyuu Densetsu,6.03
Dr. Slump: Robot Taiketsu! Shukuteki Dr. Mashirito Toujou / Keen de Yuushou!? Penguin Grand Prix,6.03
Egao no Daika,6.03
Flowering Heart,6.03
Fuyu no Hi,6.03
Girlfriend (Note),6.03
Great Mazinger tai Getter Robo G: Kuuchuu Daigekitotsu,6.03
Grey: Digital Target,6.03
Hello Kitty no Mahou no Ringo,6.03
Hello Kitty no Shirayuki-hime (2001),6.03
Jie Mo Ren,6.03
Kabushikigaisha G-anime Saiyou Concept Movie,6.03
Kaettekita Dr. Slump: Arale-chan Special,6.03
Kaitou Tenshi Twin Angel,6.03
Karakuri Kengou Den Musashi Lord,6.03
Mo Ri Shu Guang,6.03
Märchen Mädchen Specials,6.03
Nine: Kanketsu-hen,6.03
Nine: Original-ban,6.03
Ninjaman Ippei,6.03
Platinum End,6.03
Quanzhi Fashi: Q Ban Xiao Juchang,6.03
Queen's Blade OVA Specials,6.03
Santa Company: Christmas no Himitsu,6.03
Science SARU x MBS Original Short Anime Daisakusen!,6.03
Scramble Wars: Tsuppashire! Genom Trophy Rally,6.03
Shake-chan,6.03
Show By Rock!!: Legend of Shingan Crimsonz,6.03
Sugar Bunnies Chocolate!,6.03
Suki na Ko ga Megane wo Wasureta Short Episode,6.03
Tamala 2010: A Punk Cat in Space,6.03
